0,647.5,130.2,1.2,0.4,7.9,11.1,1,1
1,433.9,104.4,3.6,1.8,28.2,29.6,2,3
2,647.5,16.6,63.1,12.6,6.4,7.9,1,1
3,190.3,68,0.2,0.2,0.5,0.8,1,1
4,2136.2,147.3,52.8,26.9,139.6,203.3,4,10
5,200.3,16.6,0.5,0.5,0.8,1.9,1,1
6,270.4,18.8,10.7,1.3,2.1,3.5,1,1
7,212,121.6,1,1.1,5,6.2,1,1
8,203.6,44,3.5,0.5,4,5.8,1,1
9,320.4,30,29.1,13,13.1,14.9,1,2
10,230.3,101.6,2.4,0.9,5.6,6.8,1,1
11,220.3,29.3,1,1.2,1.4,2.1,1,1
12,360.5,254.6,5.7,9.7,69.3,152.9,4,9
13,827.8,45.8,59,11.1,84.8,95.6,4,10
14,201.9,17.7,0.8,0.7,1.6,3.5,1,1
15,210.3,94.4,2.4,5.1,2.1,2.3,1,1
16,247,40.8,28.8,9.3,16.6,19.6,2,2
17,161.9,6.6,0.4,0.1,2.8,2.9,1,1
18,560.8,20.6,4.1,1.5,13.4,23.1,1,2
19,400.5,47.2,0.1,0.2,7.3,7.6,1,1
20,155.2,41.5,1,0.5,3.2,12.3,1,1
21,237,85.8,0.9,7,8.4,8.8,1,1
22,460.6,85.8,1.4,1.6,17.4,19.9,2,2
23,317.1,19.5,0.5,0.2,2.4,3.8,1,1
24,283.7,28.6,1.2,0.6,2.1,2.8,1,1
25,240.3,101.6,1.3,1.2,9.2,11.3,1,1
26,814.4,18.2,4.6,2.2,18.4,35.4,2,2
27,337.1,64.4,0.9,0.7,7.2,16.1,1,1
28,201.9,63.7,0.1,0.2,1.2,3.4,1,1
29,188.6,52.2,0.6,0.3,29,158.9,2,3
30,310.4,24,2.8,1.7,2,5.3,1,1
31,721,9.1,2.8,0.8,20.5,30,2,2
32,205.3,17.7,2.5,0.4,3.7,4.1,1,1
33,260.4,1,0.1,0,0.5,0.8,1,1
34,534.1,20.2,0.9,0.8,9.5,13.3,1,1
35,5500.8,0,57.6,16.2,496.2,596.9,6,10
36,420.6,140.2,56.9,76.3,26.2,34.3,2,3
37,201.9,97.3,0.5,0.5,4.4,5.3,1,1
38,227,67.2,0.2,0.5,6.9,11.1,1,1
39,540.7,38.6,2,1,7.8,22.3,1,1
40,1028.1,0,13.2,4.8,44.3,44.9,3,5
41,247,83.7,2.1,1.8,7.2,8,1,1
42,277,24.3,5.2,14.4,2.6,3.1,1,1
43,233.7,110.2,0.4,1.9,13,23.1,1,2
44,217,53.6,6.4,4.5,3,3.8,1,1
45,540.7,38.6,2,1,7.8,22.3,1,1
46,237,61.5,4.8,1.2,1.2,2.4,1,1
47,347.1,61.5,0.3,0.2,9.2,20.9,1,1
48,178.6,18.8,0.4,0.2,1.1,2.1,1,1
49,514,0,9.1,2.8,15.3,23.6,1,2
50,1976,0,54.8,57.7,17.5,20.7,2,2
51,260.4,44,17,23.6,39,55.9,2,4
52,300.4,3.9,7,10.9,17.1,22.1,2,2
53,343.8,34.3,0.2,0.1,2.7,3.1,1,1
54,243.7,37.9,0.1,0.2,10.4,31.1,1,1
55,208.6,103,1,0.9,3.1,3.2,1,1
56,363.8,46.5,1.7,1.7,16.3,21.8,2,2
57,460.6,33.3,0.7,0.6,15.7,109.3,2,2
58,195.3,61.5,1.7,2.1,1.5,6.3,1,1
59,217,70.8,3.8,2.1,4,5,1,1
60,223.6,70.1,4.6,2.8,6,7.4,1,1
61,507.4,26.1,3.6,4.1,6.8,10.3,1,1
62,250.3,35.4,0.4,0.2,1.2,2.4,1,1
63,220.3,78,1,0.9,4.5,5,1,1
64,217,52.9,7.9,3.2,5.1,5.5,1,1
65,403.9,17.9,3.4,1.1,5.8,13.8,1,1
66,283.7,177.4,13,31.5,23.4,26.6,2,2
67,186.9,17.4,0.7,0.6,1.4,3.7,1,1
68,1241.7,1.1,17.3,17.9,93.4,106.8,4,10
69,433.9,27.9,0.4,0.1,0.6,17,1,1
