0,28.8,83.8,26.7,80.1
1,27,80.6,28,82.3
2,28,82.4,27.4,81.3
3,10.2,50.4,8.9,48
4,25,77,26.9,80.4
5,29,84.2,34,93.2
6,9,48.2,8,46.4
7,31,87.8,29,84.2
8,13,55.4,12.7,54.8
9,16,60.8,16,60.8
10,31,87.8,32.7,90.8
11,29.8,85.6,36.6,97.9
12,38,100.4,47.8,118.1
13,34,93.2,39.6,103.3
14,27,80.6,30,86
15,22,71.6,24.4,76
16,16,60.8,16,60.8
17,23.6,74.5,26.1,79
18,28,82.4,31,87.8
19,17.1,62.8,17.1,62.8
20,10.8,51.4,11.2,52.2
21,23,73.4,24.6,76.3
22,18.4,65.1,18.4,65.1
23,23.8,74.8,25.2,77.4
24,31,87.8,37.4,99.3
25,28,82.4,27.2,81
26,28,82.4,30.2,86.3
27,28.9,84,28.2,82.8
28,22.9,73.2,24,75.2
29,28,82.4,31.6,88.8
30,30,86,30.3,86.5
31,23.9,75,25.8,78.4
32,11,51.8,11.4,52.4
33,26.3,79.3,29,84.2
34,32,89.6,38.7,101.6
35,5,41,3.6,38.4
36,28,82.4,28.2,82.7
37,36.4,97.5,35,95
38,24,75.2,26,78.8
39,31.1,88,33.4,92.1
40,21,69.8,21,69.8
41,23,73.4,24.8,76.7
42,26,78.8,28.9,84
43,35,95,37.1,98.8
44,13,55.4,12.5,54.5
45,31.1,88,33.4,92.1
46,17,62.6,17,62.6
47,42,107.6,59.1,138.3
48,28.2,82.8,32.6,90.7
49,26,78.8,30.6,87.1
50,8.9,48,8,46.4
51,31,87.8,34.3,93.7
52,26,78.8,30.2,86.4
53,25.9,78.6,28.6,83.5
54,25.1,77.2,25,77
55,19,66.2,19,66.2
56,20,68,20,68
57,17,62.6,17,62.6
58,24,75.2,25.9,78.7
59,20,68,20,68
60,18,64.4,18,64.4
61,27,80.6,29.6,85.3
62,27,80.6,30.4,86.7
63,30,86,30.2,86.3
64,16,60.8,16,60.8
65,26,78.8,28.4,83.1
66,32,89.6,32.3,90.1
67,26,78.8,28.6,83.5
68,17,62.6,17,62.6
69,25,77,27.2,81
70,28,82.4,32.3,90.1
71,24,75.2,26.3,79.4
72,27,80.6,32.1,89.8
73,21,69.8,21,69.8
74,21,69.8,21,69.8
75,20,68,20,68
76,11,51.8,10.5,50.9
77,34,93.2,33.4,92.2
78,31,87.8,33.2,91.7
79,33,91.4,30.9,87.5
80,37,98.6,35.7,96.3
81,14,57.2,12.6,54.6
82,30,86,32.4,90.3
83,21,69.8,21,69.8
84,30,86,42.7,108.8
85,32,89.6,37.9,100.3
86,27,80.6,27.2,81
87,22,71.6,23.5,74.3
88,21,69.8,21,69.8
89,28.9,84,33.7,92.7
90,39.6,103.3,40.3,104.5
91,27.4,81.3,25.6,78.1
92,27.9,82.2,29.6,85.3
93,16,60.8,16,60.8
94,30,86,34,93.2
95,18.9,66,18.9,66
96,25,77,27,80.6
97,33,91.4,51.4,124.6
98,12,53.6,12.5,54.4
99,17,62.6,17,62.6
100,16,60.8,16,60.8
101,21,69.8,21,69.8
102,18,64.4,18,64.4
103,27,80.6,29.4,84.9
104,25.3,77.5,28.1,82.6
105,23,73.4,25.1,77.3
106,28,82.4,29.3,84.7
107,29,84.2,33.8,92.8
108,28.6,83.5,32,89.6
109,26,78.8,27.1,80.8
110,16,60.8,16,60.8
111,26,78.8,28.1,82.5
112,36.5,97.7,35.1,95.2
113,22,71.6,24.5,76.1
114,26,78.8,29,84.2
115,25,77,26.3,79.3
116,24,75.2,25.6,78.1
117,21,69.8,21,69.8
118,30,86,34.7,94.5
119,20,68,20,68
120,28,82.4,27,80.6
121,28,82.4,32,89.6
122,19,66.2,19,66.2
123,9,48.2,6.6,43.9
124,25,77,27.8,82
125,30,86,31.8,89.3
126,28,82.4,31.6,88.9
127,22,71.6,24.5,76.1
128,30,86,29.5,85.1
129,12,53.6,12.5,54.4
130,33,91.4,40.9,105.7
131,31.9,89.4,33.7,92.7
132,29,84.2,35.3,95.5
133,22.5,72.5,24.7,76.5
134,27,80.6,31.6,88.9
135,24.4,75.9,26.4,79.5
136,22.8,73,24.2,75.6
137,16.2,61.2,16.2,61.2
138,27,80.6,30.1,86.3
139,22,71.6,24.5,76.1
140,21,69.8,21,69.8
141,38,100.4,42.6,108.7
142,35,95,33.6,92.5
143,16,60.8,16,60.8
144,26,78.8,25.1,77.3
145,28,82.4,32,89.7
146,27,80.6,30.5,86.8
147,28.8,83.8,33.7,92.7
148,26,78.8,28.7,83.7
149,21,69.8,21,69.8
150,17,62.6,17,62.6
151,42,107.6,43,109.3
152,27,80.6,30.1,86.3
153,24,75.2,25.3,77.6
154,26.3,79.3,29.5,85.1
155,24,75.2,26.2,79.1
156,31,87.8,37.5,99.6
157,19,66.2,19,66.2
158,16,60.8,16,60.8
159,27,80.6,31,87.9
160,29,84.2,33.1,91.7
161,18,64.4,18,64.4
162,23,73.4,25.2,77.3
163,31.2,88.2,32.1,89.8
164,20,68,20,68
165,31,87.8,39.7,103.4
166,30.4,86.7,31.9,89.4
167,25,77,28.1,82.6
168,18,64.4,18,64.4
169,14,57.2,14.7,58.4
170,32,89.6,30,85.9
171,32,89.6,29.8,85.6
172,23,73.4,24.3,75.7
173,33,91.4,37.6,99.6
174,33.5,92.3,33.2,91.8
175,31.3,88.3,30.4,86.7
176,21,69.8,21,69.8
177,26,78.8,29.3,84.8
178,29,84.2,29.2,84.5
179,28,82.4,26.4,79.5
180,35,95,33.2,91.7
181,29,84.2,33.9,93
182,25,77,25.9,78.6
183,29.4,84.9,29.5,85.1
184,45,113,73.6,164.4
185,18,64.4,18,64.4
186,23.3,73.9,25.1,77.2
187,7,44.6,5.2,41.3
188,31,87.8,28.8,83.8
189,22,71.6,24.5,76.1
190,25,77,27.4,81.3
191,30,86,33,91.3
192,25.3,77.5,25,77
193,19.8,67.6,19.8,67.6
194,19,66.2,19,66.2
195,21.3,70.3,21.3,70.3
196,22,71.6,24.5,76.2
197,19,66.2,19,66.2
198,2.9,37.2,0.8,33.4
199,21,69.8,21,69.8
200,29,84.2,33.7,92.7
201,11,51.8,9.9,49.9
202,18,64.4,18,64.4
203,16,60.8,16,60.8
204,15,59,14,57.1
205,23,73.4,24.8,76.7
206,30,86,37.8,100
207,33,91.4,39.8,103.7
208,30.6,87.1,34.4,93.9
209,28,82.4,32.2,90
210,20,68,20,68
211,12,53.6,10.9,51.5
212,24.4,75.9,26.9,80.4
213,26,78.8,29.6,85.4
214,18.3,64.9,18.3,64.9
215,13,55.4,12.7,54.9
216,16,60.8,16,60.8
217,9,48.2,8.4,47.1
218,26.9,80.4,26.7,80.1
219,32,89.6,37.5,99.4
220,17,62.6,17,62.6
221,24.6,76.3,26.6,79.9
222,22.5,72.5,24.7,76.5
223,13.2,55.8,13.4,56.1
224,26,78.8,28.9,83.9
225,32,89.6,35.9,96.7
226,16.9,62.4,16.9,62.4
227,20,68,20,68
228,23,73.4,25.4,77.7
229,24,75.2,26,78.8
230,13,55.4,13.6,56.4
231,29,84.2,28.8,83.8
232,18.5,65.3,18.6,65.5
233,23.3,73.9,25.3,77.5
234,24,75.2,25.5,78
235,23,73.4,25.5,77.9
236,16,60.8,16,60.8
237,27,80.6,31.2,88.1
238,22,71.6,24.6,76.2
239,13,55.4,13,55.3
240,24,75.2,25.6,78
241,14,57.2,14.4,57.9
242,33,91.4,37.4,99.3
243,28.3,82.9,32.8,91
244,27,80.6,33,91.4
245,11.5,52.7,11,51.8
246,26,78.8,27.5,81.5
247,27,80.6,32.8,91.1
248,24.1,75.4,26.5,79.7
249,18.2,64.8,18.2,64.8
250,14,57.2,12.7,54.9
251,7.6,45.7,6.8,44.2
252,14,57.2,14.7,58.4
253,26,78.8,27.9,82.3
254,12,53.6,10.5,50.8
255,14,57.2,13.6,56.4
256,25,77,27.6,81.7
257,24,75.2,26,78.8
258,20,68,20,68
259,14,57.2,14.1,57.3
260,26,78.8,29.4,84.9
261,26,78.8,27.1,80.7
262,27,80.6,29.7,85.4
263,18.2,64.8,18.2,64.8
264,25,77,27.8,82
265,24.8,76.6,27.4,81.3
266,26,78.8,29.1,84.4
267,30,86,39.7,103.5
268,17,62.6,17,62.6
